Kiosk,Client Nationality,avg_churn_rate,avg_retention_rate,mean_active,net_change_total,latest_active
City Centre Me'aisem,Cypriot,0.0,1.0,1.0,0.0,1
City Centre Me'aisem,Danish,0.0,1.0,2.0,0.0,2
City Centre Me'aisem,Dutch,0.0,1.0,1.0,0.0,1
City Centre Me'aisem,Egyptian,0.0,1.0,1.3333333333333333,1.0,2
City Centre Me'aisem,Filipina,0.027777777777777776,0.9722222222222222,12.0,0.0,12
City Centre Me'aisem,French,0.0,1.0,1.0,0.0,1
City Centre Me'aisem,German,1.0,0.0,1.0,0.0,1
City Centre Me'aisem,Indian,0.026709401709401708,0.9732905982905983,25.0,1.0,25
City Centre Me'aisem,Iranian,0.0,1.0,1.0,0.0,1
City Centre Me'aisem,Irish,0.0,1.0,2.0,-1.0,2
City Centre Me'aisem,Jordanian,0.0,1.0,6.333333333333333,1.0,7
City Centre Me'aisem,Kenyan,0.0,1.0,1.0,0.0,1
City Centre Me'aisem,Lebanese,0.0,1.0,10.0,2.0,11
City Centre Me'aisem,Moroccan,0.0,1.0,2.0,0.0,2
City Centre Me'aisem,Pakistani,0.0,1.0,4.0,-1.0,4
City Centre Me'aisem,Portuguese,0.0,1.0,1.0,0.0,1
City Centre Me'aisem,South African,0.3333333333333333,0.6666666666666666,1.6666666666666667,-2.0,1
City Centre Me'aisem,Swedish,0.16666666666666666,0.8333333333333334,1.6666666666666667,0.0,1
City Centre Me'aisem,Syrian,0.0,1.0,3.0,0.0,3
City Centre Me'aisem,Tunisian,0.0,1.0,2.0,0.0,2
City Centre Me'aisem,Turkish,0.1111111111111111,0.888888888888889,2.6666666666666665,-1.0,2
City Centre Me'aisem,Unknown,0.06666666666666667,0.9333333333333332,13.333333333333334,5.0,15
City Centre Me'aisem,Zimbabwean,0.0,1.0,1.0,1.0,1
Dubai Hills,Brazilian,0.0,1.0,1.0,1.0,1
Dubai Hills,British,0.0,1.0,3.3333333333333335,3.0,4
Dubai Hills,Dominican,,,1.0,1.0,1
Dubai Hills,Indian,0.0,1.0,1.0,1.0,1
Dubai Hills,Syrian,0.0,1.0,1.3333333333333333,2.0,2
Dubai Hills,Unknown,0.0,1.0,2.0,2.0,2
Festival City,American,0.06666666666666667,0.9333333333333332,4.666666666666667,-1.0,4
Festival City,Armenian,0.0,1.0,1.0,0.0,1
Festival City,Australian,0.0,1.0,1.0,-1.0,1
Festival City,Belgian,0.1111111111111111,0.888888888888889,2.3333333333333335,-1.0,2
Festival City,Brazilian,0.0,1.0,1.0,0.0,1
Festival City,British,0.04419191919191919,0.9558080808080808,24.0,2.0,24
Festival City,Canadian,0.0,1.0,6.0,2.0,6
Festival City,Chinese,0.0,1.0,2.3333333333333335,1.0,3
Festival City,Colombian,0.0,1.0,3.0,0.0,3
Festival City,Dominican,1.0,0.0,1.0,0.0,1
Festival City,Egyptian,0.0,1.0,8.0,-1.0,8
Festival City,Ethiopian,0.0,1.0,2.0,0.0,2
Festival City,Filipina,0.02815496784306404,0.971845032156936,95.33333333333333,1.0,94
Festival City,French,0.0,1.0,12.666666666666666,3.0,13
Festival City,German,0.0,1.0,6.0,1.0,6
Festival City,Hungarian,0.0,1.0,1.0,0.0,1
Festival City,Icelander,0.0,1.0,1.0,0.0,1
Festival City,Indian,0.02543859649122807,0.9745614035087719,39.333333333333336,0.0,38
Festival City,Iranian,0.0,1.0,1.0,0.0,1
Festival City,Irish,0.0,1.0,1.6666666666666667,1.0,2
Festival City,Italian,0.0,1.0,1.3333333333333333,1.0,2
Festival City,Jordanian,0.0,1.0,2.0,0.0,2
Festival City,Kenyan,0.0,1.0,6.0,1.0,6
Festival City,Latvian,0.0,1.0,1.0,0.0,1
Festival City,Lebanese,0.053418803418803416,0.9465811965811967,13.0,1.0,13
Festival City,Lithuanian,0.0,1.0,1.0,0.0,1
Festival City,Macedonian,0.0,1.0,1.0,0.0,1
Festival City,Malaysian,0.16666666666666666,0.8333333333333334,1.3333333333333333,-1.0,1
Festival City,Mauritanian,0.0,1.0,1.0,0.0,1
Festival City,Mexican,1.0,0.0,1.0,0.0,1
Festival City,Nigerian,0.0,1.0,1.0,0.0,1
Festival City,Pakistani,0.0,1.0,3.0,-2.0,3
Festival City,Peruvian,0.0,1.0,1.0,-1.0,1
Festival City,Portuguese,0.0,1.0,3.0,0.0,3
Festival City,Russian,0.0,1.0,2.0,1.0,2
Festival City,Saint Kitts And Nevis,0.0,1.0,1.0,-1.0,1
Festival City,Saudi Arabian,0.0,1.0,1.0,1.0,1
Festival City,Singaporean,0.0,1.0,1.0,0.0,1
Festival City,Slovakian,0.5,0.5,1.0,0.0,1
Festival City,South African,0.0,1.0,4.666666666666667,1.0,5
Festival City,South Korean,0.0,1.0,1.0,0.0,1
Festival City,Spanish,0.0,1.0,2.6666666666666665,1.0,3
Festival City,Sudanese,0.0,1.0,3.0,0.0,3
Festival City,Swiss,,,1.0,1.0,1
Festival City,Syrian,0.0,1.0,1.0,0.0,1
Festival City,Tunisian,0.3333333333333333,0.6666666666666666,1.0,0.0,1
Festival City,Turkish,0.0,1.0,5.0,0.0,5
Festival City,Turkmen,,,1.0,1.0,1
Festival City,Ukrainian,0.0,1.0,1.0,0.0,1
Festival City,Unknown,0.08171497584541063,0.9182850241545895,25.333333333333332,4.0,28
Festival City,Yemenite,0.0,1.0,1.0,0.0,1
Festival City,Zimbabwean,0.0,1.0,2.0,0.0,2
Festival Plaza,Afghan,0.0,1.0,1.0,0.0,1
Festival Plaza,Algerian,0.0,1.0,1.0,1.0,1
Festival Plaza,American,0.0,1.0,5.0,-1.0,5
Festival Plaza,Australian,0.0,1.0,8.0,1.0,8
Festival Plaza,Austrian,0.0,1.0,1.0,0.0,1
Festival Plaza,Belarusian,1.0,0.0,1.0,0.0,1
Festival Plaza,Belgian,0.0,1.0,4.0,0.0,4
Festival Plaza,Bosnian,0.0,1.0,1.0,0.0,1
Festival Plaza,Brazilian,0.0,1.0,4.0,0.0,4
Festival Plaza,British,0.06007996632996634,0.9399200336700337,33.666666666666664,0.0,33
Festival Plaza,Bulgarian,0.0,1.0,1.0,0.0,1
Festival Plaza,Burkinabe,0.0,1.0,1.0,0.0,1
Festival Plaza,Canadian,0.047619047619047616,0.9523809523809524,7.333333333333333,1.0,8
Festival Plaza,Chinese,1.0,0.0,1.0,0.0,1
Festival Plaza,Colombian,0.5,0.5,1.0,0.0,1
Festival Plaza,Cypriot,0.0,1.0,2.0,0.0,2
Festival Plaza,Dutch,0.1111111111111111,0.888888888888889,3.0,0.0,3
Festival Plaza,Egyptian,0.17407407407407405,0.825925925925926,8.666666666666666,-2.0,7
Festival Plaza,Filipina,0.012125220458553791,0.9878747795414462,55.0,4.0,55
